id,user_id,feature_name,used_at,usage_count,duration_seconds
1,1,dashboard,2024-06-01 10:00:00,5,600
2,1,reports,2024-06-01 10:10:00,2,300
3,2,settings,2024-06-01 11:00:00,1,90
4,3,export_csv,2024-06-01 12:00:00,3,120
5,5,dashboard,2024-06-02 09:00:00,4,480
6,5,team_management,2024-06-02 09:05:00,2,200
7,6,reports,2024-06-02 14:00:00,6,900
8,9,api,2024-06-03 08:00:00,10,1800
9,11,onboarding,2024-06-03 10:00:00,1,1200
10,1,dashboard,2024-06-04 09:00:00,3,360
11,1,api,2024-06-04 09:20:00,8,960
12,13,dashboard,2024-06-05 11:00:00,2,240
13,3,reports,2024-06-05 15:00:00,1,60
14,9,webhooks,2024-06-06 10:00:00,4,600
15,11,dashboard,2024-06-07 09:00:00,5,450
