id,account_id,subscription_id,amount,currency,status,issued_at,due_at,paid_at
1,1,1,99.00,USD,paid,2024-02-01 00:00:00,2024-02-15 00:00:00,2024-02-10 09:00:00
2,2,2,99.00,USD,paid,2024-03-01 00:00:00,2024-03-15 00:00:00,2024-03-12 14:00:00
3,3,3,249.00,USD,paid,2024-04-01 00:00:00,2024-04-15 00:00:00,2024-04-10 11:00:00
4,5,5,499.00,USD,void,2024-05-01 00:00:00,2024-05-15 00:00:00,
5,6,6,99.00,USD,paid,2024-06-01 00:00:00,2024-06-15 00:00:00,2024-06-14 08:00:00
6,1,1,99.00,USD,paid,2024-03-01 00:00:00,2024-03-15 00:00:00,2024-03-10 10:00:00
7,2,2,99.00,USD,paid,2024-04-01 00:00:00,2024-04-15 00:00:00,2024-04-08 16:00:00
8,3,3,249.00,USD,paid,2024-05-01 00:00:00,2024-05-15 00:00:00,2024-05-12 09:00:00
9,8,8,249.00,USD,open,2024-07-01 00:00:00,2024-07-15 00:00:00,
10,10,10,499.00,USD,paid,2024-07-01 00:00:00,2024-07-15 00:00:00,2024-07-05 13:00:00
11,1,12,249.00,USD,paid,2024-07-01 00:00:00,2024-07-15 00:00:00,2024-07-03 11:00:00
12,11,11,29.00,USD,open,2024-07-01 00:00:00,2024-07-15 00:00:00,
