id,user_id,started_at,ended_at,device_type,browser,referrer,landing_page
1,1,2024-06-01 10:00:00,2024-06-01 10:30:00,desktop,chrome,direct,/dashboard
2,2,2024-06-01 11:00:00,2024-06-01 11:15:00,desktop,firefox,google,/settings
3,3,2024-06-01 12:00:00,2024-06-01 12:45:00,mobile,safari,direct,/dashboard
4,5,2024-06-02 09:00:00,2024-06-02 09:30:00,desktop,chrome,email,/dashboard
5,6,2024-06-02 14:00:00,2024-06-02 14:20:00,desktop,chrome,direct,/reports
6,9,2024-06-03 08:00:00,2024-06-03 08:45:00,desktop,firefox,google,/docs
7,11,2024-06-03 10:00:00,2024-06-03 10:45:00,desktop,chrome,paid_ad,/onboarding
8,1,2024-06-04 09:00:00,2024-06-04 09:30:00,mobile,safari,direct,/dashboard
9,13,2024-06-05 11:00:00,2024-06-05 11:25:00,desktop,chrome,referral,/dashboard
10,3,2024-06-05 15:00:00,2024-06-05 15:10:00,desktop,edge,direct,/billing
11,9,2024-06-06 10:00:00,2024-06-06 10:50:00,desktop,chrome,direct,/settings
12,1,2024-06-07 08:00:00,2024-06-07 08:20:00,desktop,chrome,direct,/dashboard
