id,account_id,plan_id,started_at,ended_at,status,monthly_amount,billing_interval
1,1,2,2024-01-05 10:00:00,,active,99.00,monthly
2,2,2,2024-02-01 08:00:00,,active,99.00,monthly
3,3,3,2024-03-01 09:00:00,,active,249.00,monthly
4,4,1,2024-04-01 13:00:00,,trialing,0.00,monthly
5,5,4,2024-04-15 07:00:00,2024-05-01 10:00:00,cancelled,499.00,annual
6,6,2,2024-05-01 10:00:00,,active,99.00,monthly
7,7,1,2024-05-15 15:00:00,,trialing,0.00,monthly
8,8,3,2024-06-01 08:00:00,,active,249.00,monthly
9,9,2,2024-06-10 12:00:00,,trialing,99.00,monthly
10,10,4,2024-06-15 09:00:00,,active,499.00,annual
11,11,1,2024-06-25 11:00:00,,active,29.00,monthly
12,1,3,2024-06-01 12:00:00,,active,249.00,monthly
