id,account_id,user_id,order_date,total_amount,status,shipping_method,discount,tax,currency
1,3,3,2024-09-09,7987.15,active,express,8665.81,1326.71,EUR
2,4,10,2024-06-01,1750.72,active,standard,7419.76,5265.59,GBP
3,2,8,2024-08-25,3626.77,pending,standard,4525.53,2223.28,GBP
4,1,9,2024-05-15,6436.97,active,standard,9985.88,8474.51,EUR
5,2,8,2024-12-15,744.17,active,premium,6086.89,666.17,EUR
6,10,10,2024-09-23,3258.6,pending,express,2956.03,5060.46,EUR
7,2,2,2024-11-21,8778.29,pending,express,8656.27,4306.4,USD
8,7,6,2024-08-13,4165.74,active,premium,4273.37,6654.43,EUR
9,3,8,2024-02-03,8319.4,active,premium,974.68,7390.57,USD
10,9,1,2024-10-18,5621.22,pending,standard,4113.98,8737.34,EUR
11,1,5,2024-10-10,3522.95,pending,express,2135.26,6570.8,USD
12,2,6,2024-09-12,1157.7,inactive,express,2269.33,4296.83,GBP
