id,user_id,event_type,event_name,created_at,properties,session_id,platform,country,device_type
1,3,event_type_1,event_name_1,2024-10-18,properties_1,1,2024-07-19,JP,desktop
2,1,event_type_2,event_name_2,2024-02-21,properties_2,7,2024-03-28,FR,web
3,1,event_type_3,event_name_3,2024-05-13,properties_3,6,2024-04-15,DE,mobile
4,7,event_type_4,event_name_4,2024-05-25,properties_4,7,2024-05-27,US,mobile
5,1,event_type_5,event_name_5,2024-12-18,properties_5,1,2024-06-08,US,desktop
6,1,event_type_6,event_name_6,2024-01-08,properties_6,4,2024-01-20,UK,web
7,3,event_type_7,event_name_7,2024-08-22,properties_7,2,2024-10-07,FR,desktop
8,5,event_type_8,event_name_8,2024-06-06,properties_8,10,2024-10-24,US,web
9,5,event_type_9,event_name_9,2024-02-19,properties_9,1,2024-05-19,FR,mobile
10,4,event_type_10,event_name_10,2024-02-19,properties_10,4,2024-02-23,DE,desktop
11,10,event_type_11,event_name_11,2024-02-26,properties_11,10,2024-01-12,JP,mobile
12,6,event_type_12,event_name_12,2024-02-17,properties_12,6,2024-01-28,FR,mobile
13,2,event_type_13,event_name_13,2024-07-12,properties_13,8,2024-12-05,FR,web
