id,user_id,feature_name,usage_count,first_used_at,last_used_at,is_active,platform,version,category
1,2,2024-08-04,68,2024-08-01,2024-12-05,false,2024-11-05,version_1,2024-02-16
2,5,2024-06-20,89,2024-07-21,2024-02-28,false,2024-11-28,version_2,2024-09-13
3,6,2024-11-23,98,2024-08-28,2024-09-02,true,2024-04-21,version_3,2024-11-10
4,4,2024-12-03,56,2024-02-25,2024-11-23,true,2024-08-06,version_4,2024-12-10
5,1,2024-01-11,8,2024-05-12,2024-06-14,true,2024-04-17,version_5,2024-07-19
6,3,2024-03-06,11,2024-10-28,2024-07-20,true,2024-08-19,version_6,2024-03-08
7,8,2024-11-09,59,2024-05-22,2024-01-26,false,2024-05-22,version_7,2024-09-06
8,2,2024-08-12,76,2024-05-21,2024-07-23,false,2024-08-28,version_8,2024-05-07
9,7,2024-08-04,31,2024-07-19,2024-06-19,false,2024-12-10,version_9,2024-01-27
10,7,2024-05-01,73,2024-11-25,2024-12-02,false,2024-05-25,version_10,2024-04-20
11,6,2024-04-21,25,2024-10-09,2024-11-25,true,2024-11-04,version_11,2024-11-21
12,1,2024-05-26,57,2024-01-19,2024-06-24,true,2024-02-10,version_12,2024-06-24
