id,order_id,product_id,quantity,unit_price,discount,total_price,sku,status,shipped_at
1,10,9,4,6093.86,6581.73,6937.78,sku_1,active,2024-03-09
2,5,6,45,71.0,8699.93,5667.55,sku_2,inactive,2024-02-05
3,1,2,96,5309.52,3768.18,4541.92,sku_3,active,2024-06-10
4,6,10,77,858.72,535.56,1582.52,sku_4,pending,2024-01-22
5,2,5,57,6622.77,4861.76,4426.02,sku_5,inactive,2024-04-25
6,9,2,45,4304.84,2839.63,6788.08,sku_6,inactive,2024-09-22
7,5,1,29,3958.68,5997.26,86.79,sku_7,inactive,2024-04-25
8,3,5,38,3287.94,87.22,7472.67,sku_8,active,2024-03-13
9,9,4,65,5591.65,6683.8,3548.13,sku_9,inactive,2024-12-02
10,7,1,59,9212.41,8622.48,5761.83,sku_10,pending,2024-07-23
11,7,5,15,4056.27,9662.33,1727.01,sku_11,pending,2024-08-27
12,6,2,56,8446.4,2440.73,5892.82,sku_12,pending,2024-02-13
13,5,6,29,3337.36,1689.65,5109.73,sku_13,active,2024-09-17
14,4,6,45,7276.52,8191.3,8152.22,sku_14,active,2024-02-05
