id,product_name,category,price,cost,sku,status,created_at,weight,supplier_id
1,product_name_1,2024-03-07,1330.28,5398.68,sku_1,inactive,2024-09-17,9135.73,3
2,product_name_2,2024-05-27,9442.44,9674.17,sku_2,inactive,2024-12-28,3393.77,2
3,product_name_3,2024-08-03,1416.16,9665.34,sku_3,pending,2024-12-22,9799.62,9
4,product_name_4,2024-06-03,7908.91,149.05,sku_4,pending,2024-02-15,3692.17,5
5,product_name_5,2024-10-13,8225.95,9403.52,sku_5,active,2024-11-08,4720.05,10
6,product_name_6,2024-09-11,9153.41,2221.46,sku_6,active,2024-11-27,4648.03,5
7,product_name_7,2024-11-14,1175.59,463.01,sku_7,active,2024-05-16,1170.04,4
8,product_name_8,2024-09-05,3892.57,3716.41,sku_8,pending,2024-12-18,4197.08,3
9,product_name_9,2024-07-21,999.23,4898.58,sku_9,inactive,2024-05-02,6905.9,4
10,product_name_10,2024-08-15,9506.05,8555.95,sku_10,active,2024-11-12,5449.21,6
11,product_name_11,2024-01-13,2766.06,9682.39,sku_11,inactive,2024-02-22,2128.94,10
12,product_name_12,2024-01-02,7870.08,2443.25,sku_12,active,2024-10-07,695.42,9
13,product_name_13,2024-04-19,2167.35,8698.26,sku_13,inactive,2024-03-26,9006.31,1
