id,user_id,started_at,ended_at,duration_seconds,page_count,platform,browser,country,is_bounce
1,9,2024-11-09,2024-10-26,69,100,2024-08-15,mobile,JP,false
2,6,2024-04-27,2024-02-09,58,32,2024-08-19,desktop,FR,false
3,1,2024-08-28,2024-06-06,63,28,2024-06-26,mobile,DE,false
4,10,2024-12-09,2024-09-01,67,25,2024-02-08,desktop,FR,false
5,9,2024-04-23,2024-08-21,92,63,2024-08-26,web,US,false
6,4,2024-07-23,2024-04-10,85,75,2024-06-16,desktop,JP,false
7,7,2024-12-18,2024-06-12,90,59,2024-05-10,mobile,UK,true
8,4,2024-06-04,2024-12-18,98,89,2024-03-07,web,FR,false
9,10,2024-09-20,2024-05-04,25,38,2024-04-12,web,DE,true
10,9,2024-03-09,2024-01-02,71,38,2024-12-05,desktop,FR,true
11,1,2024-10-10,2024-08-16,57,44,2024-03-02,mobile,FR,true
12,2,2024-07-16,2024-02-19,81,88,2024-01-05,web,JP,false
13,2,2024-04-04,2024-09-25,54,78,2024-10-26,desktop,UK,false
14,8,2024-08-10,2024-10-14,40,73,2024-10-02,desktop,US,true
15,4,2024-05-22,2024-02-06,31,23,2024-09-03,web,US,false
